source,document_id,revision,chunk_index,title,page,folder_type,subfolder,score,rerank_score,text_content
D70036 HAL 4.0 Software Description Report China Submission Rev 03 .docx.pdf,D70036,3,47,4 on-board USB 3.0 ports > 2.4 Life Cycle (生存周期)(No change) > 2.4.2 Configuration Management Plan,25,Regulatory,,0.376351118,0.17582092,"As per IEC 62304:2006 Clause 5.1.9 the following controls are in place: 1) the classes, types, categories or lists of items to be controlled: a) The software system is Class C because serious injury is possible should the system  fail to maintain functionality associated with the device’s essential performance. b) Software items within the system have not been de‐rated to B or A, as this is a legacy device with full risk management and V&V coverage. 2) the software configuration management activities and tasks: a) Configuration is managed as per: L9043 Software Configuration Management L6954 Software Versioning 3) the organizations responsible: a) VMS Palo Alto, California, is responsible for all updates to the device software. 4) the relationships with other organizations: a) There are no relationships with other organizations. 5) when items are to be placed under configuration controls"
D68685 HAL 4.0 Cybersecurity Statement Rev 01.docx.pdf,D68685,1,15,3.0 Definitions > 4.2 Integrity > 4.2.2 Software Integrity:,5,Risk Management,Risk Management Plans,0.344352096,0.14645308,"During the design and development phases of the lifecycle for the application software within Varian medical devices, the integrity of the system build is ensured by controlling the editing process and requiring regular reviews of the code. This is done to ensure that the integrity of the application software is maintained through the construction phase. W hen the software package is ready for release to the user, Varian manufacturing procedures (DND1902) are used to prevent improper or incompatible versions of the software from being distributed or installed. These procedures include measures to ensure the consistency of data, the absence of viruses or malware, and the inclusion of needed user documentation and labeling. For Varian medical devices, installation procedures and updates are handled by trained Varian Service personnel or local Service representatives. Acceptance procedures are utilized to provide a further barrier to loss of integrity, as the"
D70060 HAL 4.0 GSPR Checklist Rev2.docx.pdf,D70060,2,4,2. Canada Medical Device Regulations (CMDR) – 2024-12-14 (Continued),3,Regulatory,International Submission Dossier,0.317786336,0.08570928,"conditions of use, they are suitable for their intended purpose. They shall be safe and effective and shall not compromise the clinical condition or the safety of patients, or the safety and health of users or, where applicable, other persons, provided that any risks which may be associated with their use constitute acceptable risks when weighed against the benefits to the patient and are compatible with a high level of protection of health and safety, taking into account the generally acknowledged state of the art. EN ISO 13485:2016 EN ISO 14971:2019 +A11:2021 EN 60601-1-6:2010 +A1:2015+A2:2021 EN IEC 60601- 1:2006+A1:2012 + A2:2021 (Ed 3.2) EN 60601-1- 2:2015+A1:2021 EN IEC 60601-2- 1:2021 EN 62366-1: 2015+A1:2020 The use of the quality system standard EN ISO 13485 assures design and manufacture quality. The risk management standard ISO 14971 was followed to provide full lifecycle risk management framework. The risk of user error has been reduced as far as"
D73991 HAL 4.0 IEC 80001 Test Report Rev 01.pdf,D73991,1,21,2. Remove the drives and give them to the customer. > 5.14 Third-party components in product lifecycle roadmaps – RDMP,6,Design Output Specification,Labeling,0.324533403,0.050611433,"HDOs want an understanding of security throughout the full life Requirement goal cycle of a MEDICAL DEVICE. MDM plans such that products are sustainable throughout their life cycle according internal quality systems and external regulations. Products provided with clear statement of expected life span. Goal is to proactively manage impact of life cycle of components throughout a product’s full life cycle. This commercial off-the- shelf or 3rd party software includes operating systems, database systems, report generators, MIP components etc. (assumption is that existing PCP already manages hardware component obsolescence). 3rd party includes here also internal suppliers of security vulnerable components with own life cycle and support programs Obsolescence of platform components is managed via standard Note / Justification engineering process.  Upgrade or replacement of out-dated 3rd party components is considered in new releases. RAD1652 Terms & Condition Terms & Condition"
D68686 HAL 4.0 Cybersecurity Summary Report Rev 03.pdf,D68686,3,11,2. Basic Information > 2.4 Applicable Regulations,6,Risk Management,Risk Management Reports,0.339336812,0.04185213,"Guidance for Industry and Food and Drug Administration Staff: 1400044 Post-market Management of Cybersecurity in Medical Devices (issued on December 28, 2016). China NMPA Cyber Security Technical Guidance (CFDA Announcement No13[2017]). 2.5 Varian Product Lifecycle Cybersecurity Approach Varian implements a product lifecycle framework that guides the incorporation of the Secure by Design principle in Varian products and solutions.  The lifecycle framework also addresses the continuous management of cybersecurity risks after the products or solutions are released to the field. As part of the post-market cybersecurity maintenance, cybersecurity risk assessments are conducted periodically, or whenever it is needed in response to post-market cybersecurity signals such as 3rd party component vulnerability disclosure e.g., critical Microsoft vulnerabilities.  Depending on the nature and the level of the risks, the results of the post- ID Type Description E1 Configuration File"
D70060 HAL 4.0-GSPR Checklist.pdf,D70060,,40,2. Canada Medical Device Regulations (CMDR) – 2019-06-21 (Continued),14,Regulatory,Essential Requirements Checklist,0.311710864,0.03114383,"device when it comes into contact with materials, liquids, and substances, including gases, to which it is exposed during normal conditions of use; d) the risks associated with the possible negative interaction between software and the IT environment within which it operates and interacts; e) the risks of accidental ingress of substances into the device; f) the risks of reciprocal interference with other devices normally used in the investigations or for the treatment given; and g) risks arising where maintenance or calibration are not possible (as with implants), from ageing of materials used or loss of accuracy of any measuring or control mechanism. EN ISO 13485: 2016 EN ISO 14971: 2019 EN 62366-1: 2015 EN 60601-1-6:2010 +A1:2013 EN 60601-1: 2006/A1:2013 EN 60601-1-2:2015 IEC 60601-2-1:2020 (EDITION 4.0) Design and manufacture are assured through the use of quality system standard EN ISO13485. Device safety is assured through the use of the"
D101278 106485676MIN-002 IEC60601-1-6 Ed.3.2 HAL4.0_30_APR_2026 Rev 1.pdf,D101278,1,21,"40 51st Way NE, Suite 100 (Continued)",12,Regulatory,Test Reports - Regulatory Compliance,0.31111756,0.026506126,"SPECIFICATION  ..................................................................... : Document References in USABILITY ENGINEERING FILE, including any FORMATVE EVALUATION or required training strategy Summative Usability Test Plan [D67097] Usability Engineering File [D68994] Instructions for Use [P1039628-001-A] GOPS Services Plans [SP- GE-Halcyon40-A] P Where new USE ERRORS, HAZARDS, HAZARDOUS SITUATIONS or HAZARD-RELATED USE SCENARIOS are discovered during this step the MANUFACTURER shall repeat the steps of Clause 5 as appropriate User Centered Design (UCD) process is part of Product Life Cycle (PLC) process as described generally in DND01 Design and Development Procedure and specifically in DND17 User Centered Design Integration into PLC Planned activities were recorded in the Design and Development Plan [D45739] Usability Engineering File [D68994] P If training on the specific MEDICAL DEVICE is required for the safe us of the MEDICAL DEVICE by the"
D70036 HAL 4.0 Software Description Report China Submission Rev 03 .docx.pdf,D70036,3,46,4 on-board USB 3.0 ports > 2.4 Life Cycle (生存周期)(No change) > 2.4.1 Lifecycle Summary (Continued),25,Regulatory,,0.335605204,0.025226826,"required activities and deliverables are completed as defined, and that the device satisfies user needs and intended use and that it is completely translated into manufacturing specifications. Note: Any amendments to the required activities and deliverables shall be documented in the Design Transfer Review and approved by MER."
D70060 HAL 4.0-GSPR Checklist.pdf,D70060,,11,2. Canada Medical Device Regulations (CMDR) – 2019-06-21 (Continued),5,Regulatory,Essential Requirements Checklist,0.33998403,0.023375316,"applicable, of other persons are compromised during the lifetime of the device, as indicated by the manufacturer, when the device is subjected to the stresses which can occur during normal conditions of use and has been properly maintained in accordance with the manufacturer's instructions. EN ISO 13485: 2016 EN ISO 14971: 2019 EN 60601-1-2:2015 IEC 60601-2-1:2020 (Edition 4.0) The use of the quality system standard EN ISO13485 assures design and manufacture quality. The risk management standard ISO 14971 was followed to evaluate and mitigate risks. Expected use life is 10 years. The use of the Medical Electrical Equipment series EN IEC 60601 standards assures device safety and performance. Verification Summary Report: D68588 Validation Summary Report: D68014 Risk Management Report (RMR): D56979 D68781 Expected Lifetime. EN 60601-1 Test Report: 104993953MIN-001 EN 60601-1-2 Test Report: 105008743MPK-002 EN 60601-1-6 Test Report: 104993953MIN-006 BS EN 60601-2-1 Test Report:"
104993953MIN-001 - HAL4.0 - IEC 60601-1.pdf,104993953,,448,4 Supply voltage: (Continued),281-282,Regulatory,Test Reports - Regulatory Compliance,0.344429404,0.021656677,"SAP (transaction code: ZDMRI) P 5.8.6 [B, C] The MANUFACTURER ensured that all ACTIVITIES and TASKS are complete along with all the associated documentation Procedures used (Appendix A): The DND07F06 Design Output Review (DOR) Rev 01 ensures that all documentation, activities, and tasks are complete. Device records (Appendix B): D52227 HAL 4.0 Design Output Review REV 01 P 5.8.7 [A, B, C] For at least a period of time determined as the longer of: the life time of the device as defined by the MANUFACTURER or a time specified by relevant regulatory requirements, the MANUFACTURER archived: P Page 281 of 365                     Report No. 104993953MIN-001 IEC 60601-1 Clause Requirement + Test Result - Remark Verdict TRF No. IEC60601_1S Attachment - Software – IEC 62304:2006 — a) the SOFTW ARE PRODUCT and CONFIGURATION ITEMS Procedures used (Appendix A): Saving items in product vault and escrow is included in DND19 Software Configuration Management Procedure Rev 02. Configuration management"
D101278 106485676MIN-002 IEC60601-1-6 Ed.3.2 HAL4.0_30_APR_2026 Rev 1.pdf,D101278,1,13,"40 51st Way NE, Suite 100 (Continued)",8,Regulatory,Test Reports - Regulatory Compliance,0.317980051,0.020567095,"5, to provide SAFETY for the PATIENT, USER and others. The PROCESS shall address USER interactions with the MEDICAL DEVICE according to the ACCOMPANYING DOCUMENTATION User Centered Design (UCD) process is part of Product Life Cycle (PLC) process as described generally in DND01 Design and Development Procedure [DND01] and specifically in DND17 User Centered Design Integration into PLC Additionally, RSK01 Medical Device Risk Management [RSK01] describes the overall process for the medical device risk management process. Reference Guides, User Manuals and Instructions for Use listed in GPL Customer Documentation in Nucleus P1039629-001-A Halcyon and Ethos Radiotherapy System Instructions for Use P USABILITY ENGINEERING activities for a MEDICAL DEVICE shall be planned, carried out, and documented by personnel competent on the basis of appropriate education, training, skills or experience. P Where a documented product realization PROCESS exists, such as that described in Clause 7"
D73991 HAL 4.0 IEC 80001 Test Report Rev 01.pdf,D73991,1,8,5.5 Cyber security product upgrades – CSUP,3,Design Output Specification,Labeling,0.33310473,0.019456575,"Create a unified way of working. Installation / Upgrade of Requirement goal product security patches by on-site service staff, remote service staff, and possibly authorized HDO staff (downloadable patches). Please see Section 4 Maintenance Plan of the Cybersecurity Note / Justification Description File.  Varian implements a product lifecycle framework that guides the incorporation of the Secure by Design principle in Varian products and solutions.  The lifecycle framework also addresses the continuous management of cybersecurity risks after the products or solutions are released to the field. As part of the post-market cybersecurity maintenance, cybersecurity risk assessments are conducted periodically, or whenever it is needed in response to post-market cybersecurity signals such as 3rd party component vulnerability disclosure (e.g. critical Microsoft vulnerability CVE-2019-0708).  Depending on the nature and the level of the risks, the results of the post-"
D75414 HAL 4.0 Cybersecurity Summary Report China Submission Rev 01.pdf,D75414,1,34,4. Conclusion（结论）,20-21,Regulatory,Test Reports - Regulatory Compliance,0.314140379,0.019014435,"Varian implements a product lifecycle framework that guides the incorporation of the Secure by Design principle in Varian products and solutions. The lifecycle framework is defined in attachment 8 Varian Product Lifecycle Cybersecurity Procedure. Remaining vulnerabilities are documented and assessed in attachment 2: HAL 4.0 Cybersecurity Risk Assessment. Residual cybersecurity risks are accepted. Halcyon 4.0 China Self-developed Software Cybersecurity Study Report This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date Date of last e- D75414 01 Sign Format L13138 Rev 02  Page 21 of 21 Appendix List of Separately Attached Files ID DOC# / Rev# Tile of the Document 1 CTB GE-309 / Rev M Varian Medical Anti-Virus Software Policy 2 D59765 / Rev 01 HAL 4.0 Cybersecurity Risk Assessment 3 D68683 / Rev 01 HAL 4.0 Cybersecurity Traceability Analysis"
D78266 HAL 4.0 External Software Environment Assessment Report Rev01.docx.pdf,D78266,1,29,5. Risk Management (Continued),16,Regulatory,Test Reports - Regulatory Compliance,0.305519104,0.0154839875,"Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date Date of last e- D78266 01 Sign 7. Maintenance Plan Varian implements a product lifecycle framework that guides the incorporation of the Secure by Design principle in Varian products and solutions. The lifecycle framework also addresses the continuous management of cybersecurity risks after the products or solutions are released to the field. As part of the post-market cybersecurity maintenance, cybersecurity risk assessments are conducted periodically, or whenever it is needed in response to post-market cybersecurity signals such as 3rd party component vulnerability disclosure (e.g., critical Microsoft vulnerability CVE-2019-0708). Depending on nature and the level of risks, the results of the post-market cybersecurity risk assessments can lead to product updates, bug fixes, field services, Product Advisory, or Product Security Notification."
D59555 HAL 4.0 Risk Management Plan rev03.pdf,D59555,3,29,7.0 Verification Activities > 7.1 Risk control measures,9,Risk Management,Risk Management Plans,0.310784221,0.015424552,"The three risk control options shall be considered in their order of priority: o Inherently safe design and manufacture; o Protective measures in the device itself or in the manufacturing process; o Information for safety (warnings/precautions/contra-indications) and, where appropriate, training to users. All recognized risk control measures shall be implemented to reduce risk to or maintain risk at an acceptable level. Implementation of risk control measures shall continue until successive risk control options or measures do not further reduce the estimated risk. Whenever possible, requirements of international standards or their corresponding harmonized versions shall be utilized as risk control measures. These applied standards are listed or referenced in Appendix B of this RMP. The implementation of risk control measures shall be verified. The effectiveness of the implemented risk control measures shall be verified or, as appropriate, validated."
D68779 HAL 4.0 Risk Control Measures Trace Matrix rev01.pdf,D68779,1,8,2. Risk Control Measures Verification Trace Matrix (Continued),6,Risk Management,Risk Management Reports,0.312396348,0.013902059,Doc Number Rev. Date Date of last e- D68779 01 Sign Format DND01T01 Rev 02   Page 6 of 176 movement will be gradual slippage so th 393675 Eliminated hand pendant and cables that could get stressed 394675 Eliminated pendant 605425 Design Control - STN - Eliminated pendant  TDS.Halcyon30.System.TRR_03.00.0031 558825 Halcyon Default Passed NA 393676 Covers designed to close all gaps 397248 Covers Foreseeable Misuse 2319 SYRS1665.2.6.5; The covers shall be ... 2.0.10 14695 Passed NA NA 393677 Ease of handling by lightweight design and handles 394431 Ease of handling 605382 Design Control - IMG - The drum phantom shall be design to be lightweight  TDS.Halcyon30.System.TRR_03.00.0031 558792 Halcyon Default Passed NA 393678 System provides users clear guidance to reduce confusion 394631 Simplicity 605416 Design Control - STN - User input devices shall have minimum functions and guide user thru workflow TDS.Halcyon30.System.TRR_03.00.0031 558803 Halcyon Default Passed NA
D68492 HAL 4.0 Validation Test Results  Interim Rev 01.docx.pdf,D68492,1,46,1. HAL 4.0 Validation Test Design Strategy – D64929 (Continued),16,Design Validation,Test Reports,0.332991928,0.011687257,451801 Enforce use of verification tool before applying match 1040151 15 *ARIA* Daily Workflow with kV CBCT Legacy/IGRT HAL40_SYSTEM_REL_04.00.0033 1270029 Halcyon Default Passed NA 393897 16 Risk Control Measure Require sign-off when shift larger than defined tolerance 451802 Require sign-off when shift larger than defined tolerance 452317 54 Imaging Related Legacy/IGRT HAL40_SYSTEM_REL_04.00.0033 1270043 Halcyon Default Passed NA 393898 17 Risk Control Measure Couch shifts greater than 20 mm require user to perform in room 451803 Couch shifts greater than 20 mm in VRT and LAT to be applied in room 452317 54 Imaging Related Legacy/IGRT HAL40_SYSTEM_REL_04.00.0033 1270043 Halcyon Default Passed NA 393899 16 Risk Control Measure Liveview to visually monitor patient 451804 Liveview to visually monitor patient 452321 60 Treatment with OSS Legacy/IGRT HAL40_SYSTEM_REL_04.00.0033 1273709 Halcyon Default Passed NA 393900 15 Risk Control Measure Intercom to audibly monitor patient
D68779 HAL 4.0 Risk Control Measures Trace Matrix rev01.pdf,D68779,1,11,2. Risk Control Measures Verification Trace Matrix (Continued),7,Risk Management,Risk Management Reports,0.339135289,0.010944578,451129 TPVerify_Examine_StandSidePanels HAL40_SYSTEM_REL_04.00.0012 1102216 Halcyon Default Passed NA 393685 Usability and ergonomic design of operator controls 394629 Ergonomic 605414 Design Control - STN - User input devices shall be located to prevent repetitive stress injuries TDS.Halcyon30.System.TRR_03.00.0031 558800 Halcyon Default Passed NA 393685 Usability and ergonomic design of operator controls 397237 Motion Button Guards 2310 SYRS1665.2.5.2; All user input devic... TRR5/1.0.49 10592 NA Passed NA 393686 Design ion chamber assembly to ensure filters installed correctly 394378 Mounting pattern 605367 Design Control - BGM Ion Chamber mounting pattern for components  TDS.Halcyon30.System.TRR_03.00.0031 558789 Halcyon Default Passed NA 393687 Ion chamber assembly design ensure correct installation 394378 Mounting pattern 605367 Design Control - BGM Ion Chamber mounting pattern for components  TDS.Halcyon30.System.TRR_03.00.0031 558789 Halcyon Default Passed NA
D59555 HAL 4.0 Risk Management Plan rev03.pdf,D59555,3,31,8.0 Production and Post-production Information,9-10,Risk Management,Risk Management Plans,0.33008787,0.008745182,"Production and post-production information will be continually monitored and analyzed to determine if new risks have been identified and to review the assessments of known risks to maintain an effective risk management process. This information includes, but is not limited to, design and process changes, revisions of standards, identifications of defects, and reports of complaints. In addition to Varian’s information about the device, the following shall be reviewed: • Information on similar devices on the market; • Publicly available information such as recalls, FDA Medical Device Reports, and vigilance reports; • Scientific literature. Analysis of relevant data is used to demonstrate that risk-based decisions and risk control measures for this device are appropriate and effective. HAL 4.0 Risk Management Plan Revision Doc Number 03 D59555 Varian Confidential RSK0101T01 Rev 03 This document contains confidential, proprietary information of Varian Medical Systems."
104993953MIN-001 - HAL4.0 - IEC 60601-1.pdf,104993953,,478,4 Supply voltage: (Continued),306,Regulatory,Test Reports - Regulatory Compliance,0.319266081,0.0071214284,"As appropriate, defects are reported to customers in the User Documentation Customer Release Note, Known Issues section, for each product release. Device records (Appendix B): User Documentation: Customer Release Note D56979 HAL 4.0 Risk Management Report rev02.pdf P 9.4 [A, B, C] The MANUFACTURER approves and implements all CHANGE REQUESTS, observing the requirements of the change control PROCESS Procedures used (Appendix A): LL00000016 Change Request Rev 05 provides for approvals. Implementation follows DND01 Design and Development Procedure Rev 02. Device records (Appendix B): Completed LL00000016 Change Request Rev 05 Form(s) P 9.5 [A, B, C] The MANUFACTURER maintains records of PROBLEM REPORTS and their resolution including their VERIFICATION Procedures used (Appendix A): DND15 DR Handling W ork Instruction Rev 01 requires testing as necessary to verify that the discrepancy no longer exists. Verification Test records are maintained in the Design History File (DHF) for each project."
D68492 HAL 4.0 Validation Test Results  Interim Rev 01.docx.pdf,D68492,1,13,1. HAL 4.0 Validation Test Design Strategy – D64929 (Continued),8,Design Validation,Test Reports,0.305620879,0.006338922,455805 No entrapment from couch handles 452039 74 UX RCMs Legacy/IGRT HAL40_SYSTEM_REL_04.00.0033 1268355 Halcyon Default Passed NA 393685 15 Risk Control Measure Usability and ergonomic design of operator controls 451730 Usability and ergonomic design of operator controls 452039 74 UX RCMs Legacy/IGRT HAL40_SYSTEM_REL_04.00.0033 1268355 Halcyon Default Passed NA 393697 16 Risk Control Measure Guards at front of bore cover at couch lateral base to prevent foot trap 455808 Prevent foot trap at head of couch 452039 74 UX RCMs Legacy/IGRT HAL40_SYSTEM_REL_04.00.0033 1268355 Halcyon Default Passed NA 393706 16 Risk Control Measure Camera mount provides sufficient strength to withstand foreseeable misuse of being used as a handle 455820 Camera mounts maintains integrity when used to support someone 452039 74 UX RCMs Legacy/IGRT HAL40_SYSTEM_REL_04.00.0033 1268355 Halcyon Default Passed NA 393714 16 Risk Control Measure Accompanying documentation shall provide instructions for cleaning
D70154 HAL 4.0 Machinery Directive Checklist Rev 01.pdf,D70154,1,21,2. Detailed Instructions > 2.1 Detailed Instructions for Clause 1.2.2 Control devices (Continued),11-12,Regulatory,Essential Requirements Checklist,0.334471256,0.0060269516,"subjected to considerable forces. Life testing D68781 HAL 4.0 Expected Lifetime (L9811) Life testing D68781 HAL 4.0 Expected Lifetime (L9811) Life testing D68781 HAL 4.0 Expected Lifetime (L9811) Life testing D68781 HAL 4.0 Expected Lifetime (L9811) 8 W here a control device is designed and constructed to perform several different actions, namely where there is no one-to-one correspondence, the action to be performed must be clearly displayed and subject to D12679 Halcyon 1.0 Control Console UI Spec D11274 HalcyonD12680 Halcyon 1.0 SSP UI Spec1.0 Couch and Covers UI Spec D11271 Halcyon 1.0 IRM UI Spec Varian Confidential Format L3689 Rev 02  Page 12 of 12 Stand Side Panel No. Requirement Control Console (2) Emergency Off Switches Touchscreen (2) confirmation, where necessary. 9 Control devices must be so arranged that their layout, travel and resistance to operation are compatible with the action to be performed, taking account of ergonomic principles. D12679 Halcyon 1.0 Control"
D70060 HAL 4.0 GSPR Checklist Rev2.docx.pdf,D70060,2,58,2. Canada Medical Device Regulations (CMDR) – 2024-12-14 (Continued),20-21,Regulatory,International Submission Dossier,0.323223054,0.0051196762,"ionising radiation. b) Devices intended to emit ionising radiation shall be designed and manufactured in such a way as to ensure that, where possible, taking into account the intended use, the EN ISO 13485: 2016 EN ISO 14971:2019 +A11:2021 EN IEC 60601- 1:2006+A1:2012 +A2:2021 (Ed 3.2) The emitted radiation is constantly monitored using an ion chamber. The device controls the quantity and geometry of the radiation by means of movement of the gantry and MLC as determined by the treatment plan. See 11.2.1 above. Design and manufacture are assured through the use of quality system standard EN ISO13485. Risk is evaluated through the use of ISO14971. Verification Summary Report:  D68588 Validation Summary Report: D68014. Risk Management Report (RMR): D56979 EN 60601-1 Test Report: 106485676MIN-001 Checklist for MDR GSPR, Canadian MDR, and Australian Essential Principles [Device Name] Revision Doc Number 2 D70060 Varian Confidential REG0507F08 Rev 04"
D70154 HAL 4.0 Machinery Directive Checklist Rev 01.pdf,D70154,1,3,1. Checklist Form (Continued),3,Regulatory,Essential Requirements Checklist,0.31206128,0.0043823365,"Applicable to medical devices Yes/No Rationale Varian Action Room lighting recommendations are stated in the DDR. Ref Risk Management Report (RMR) DOC ID D56979 1.1.5 Design of machinery to facilitate its handling No Covered by MDR Annex 1, GSPR 7, 14, and EN14971, Annex E,H 1.1.6 Ergonomics  No Covered by MDR Annex 1, GSPR 5, 14.2.(a), and EN14971, EN60601-1-6, EN 62366 1.1.7. Operating positions  No Covered by MDR Annex I, GSPR 10, 14, 16 1.1.8 Seating  Yes Only partially covered by MDR Annex 1, GSPR 1, 5, 14, 20.2.  This requirement is applicable when the operating position is an integral part of the machinery. This requirement is not relevant for seats used in workstation environment like PACS or control work station Not applicable to Varian because our machinery has seating only at control workstations. 1.2 CONTROL SYSTEMS  No Title only 1.2.1 Safety and reliability of control systems No Covered by MDR Annex I, GSPR 17.1, 21.3, and EN60601-1-4"
D101277 106485676MIN-001 IEC60601-1 Ed.3.2 HAL4.0_30_APR_2026 Rev 1.pdf,D101277,1,422,6. The MSO shall only be used to power the console cabinet (Continued),242,Regulatory,Test Reports - Regulatory Compliance,0.316695601,0.0043653264,"Page 242 of 352                           Report No.106485676MIN-001 IEC 60601-1 Clause Requirement + Test Result - Remark Verdict TRF No. IEC60601_1U 5.2.4 [A, B, C] The MANUFACTURER re-EVALUATES the MEDICAL DEVICE RISK ANALYSIS when software requirements are established and update it as appropriate Procedures used: DND01 Design and Development Procedure specifies using the RSK01 Medical Device Risk Management at all phases throughout development. DND04T01 Design and Development Plan (DDP) references the DND01 Design and Development Procedure Device records: D45739 HAL 4.0 Design and Development Plan P 5.2.5 [A, B, C] The MANUFACTURER ensures that existing requirements, including SYSTEM requirements, are re-EVALUATED and updated as appropriate as a result of the software requirements analysis ACTIVITY Procedures used: The DND05G01 Requirements Management Work Instruction specifies review and update of requirements (section 5.1) DND05T02 Product Requirements Document"
D78333 Ethos 4.0 Description of interoperability Study Rev01.docx.pdf,D78333,1,41,1. Basic Information > 2.2 Interoperation Maintenance (Continued),21,Regulatory,Test Reports - Regulatory Compliance,0.314974487,0.0043653264,"channels or are noted for inclusion in subsequent software versions. When an update becomes necessary the exact scope of the update will be defined. Necessary design changes will be handled via change request. Regression tests for the scope of the update will be defined. A risk assessment for the change will be performed. Any test activities will be documented. The update will be formally released and rolled out. The maintenance phase is active over the software’s lifetime as product evaluation and feedback are continuous. For the process document references on the maintenance related process parts the following can be referenced: The product development process DND01 Design and Development rev03 includes also Maintenance Release handling, ref ch7.1.2 The maintenance release activities are documented in DND01F02 Maintenance Release Document rev01 that in practice is the change request including e.g. maintenance scope, target"
D101277 106485676MIN-001 IEC60601-1 Ed.3.2 HAL4.0_30_APR_2026 Rev 1.pdf,D101277,1,480,6. The MSO shall only be used to power the console cabinet (Continued),292-293,Regulatory,Test Reports - Regulatory Compliance,0.321106076,0.003678509,"Procedures used: DND04F01 Change Request provides for approvals. Implementation follows DND01 Design and Development Procedure Device records: Completed DND04F01 Change Request Form(s) P 9.5 [A, B, C] The MANUFACTURER maintains records of PROBLEM REPORTS and their resolution including their VERIFICATION Procedures used: DND15 DR Handling Work Instruction requires testing as necessary to verify that the discrepancy no longer exists Verification Test records are maintained in the Design History File (DHF) for each project Device records: Design History File Index P Page 293 of 352                           Report No.106485676MIN-001 IEC 60601-1 Clause Requirement + Test Result - Remark Verdict TRF No. IEC60601_1U The MANUFACTURER updates the RISK MANAGEMENT FILE as appropriate Procedures used: Risk impact and any associated activities are part of the DND04F01 Change Request RSK0101T01 Risk Management Plan documents updating of the Risk Management File Device records: D59555 HAL 4.0 Risk"
D54550 HAL 4.0 Validation Plan Rev 05.docx.pdf,D54550,5,22,2. Validation Overview > 2.2.5 Regression Testing (Continued),12-13,Design Validation,Verification and Validation Plans,0.309175283,0.0016229671,"regression should be performed. All new RCM requirements should always be tested as per the table below. RCM Control Operator Verification Testing Validation Testing Summative Testing Output(s) Human Yes Yes  Yes Verification Trace Matrix Validation Trace Matrix Summative Test Report Device Yes No No Verification Trace Matrix Process Yes (Manufacturing + Service, Installation as applicable) Yes (Manufacturing) No Verification Trace Matrix Validation Trace Matrix Master Validation Plan (23) HAL Treatment Delivery Platform 4.0 Validation Plan This document contains confidential, proprietary information of Varian Medical Systems. It may not be copied or reproduced without prior written permission from Varian Medical Systems. Doc Number Rev. Date Date of Last D54550 05 eSign DND09T01 Rev 03   Page 13 of 36 Solution Interoperability Validation 2.4 Solution Interoperability Validation evaluates that the features introduced within the device can be"
D95548 HAL 4.0MR2 (HAL Evolve) Product Versioning Memo Rev 01.pdf,D95548,1,5,3.0 Version Consideration (Continued),2-3,Regulatory,Regulatory Plans,0.319988102,0.0014437558,"therefore no new risks. Are existing features being improved? *NO NO changes to features of functionality If existing features being modified, are major, new functionalities being added? ***NO NO changes to features of functionality HAL 4.0 MR2 (HAL Evolve) Product Versioning Memo for New China Model Revision Doc Number 01 D95548 Varian Confidential REG0508F02 Rev 01 This document contains confidential, proprietary information of Varian, a Siemens Healthineers Company. It may not be copied or reproduced without prior written permission from Varian. Page 3 of 4 Are all changes issue fixes / hot fixes? * NO No open issues fixes are in scope. changes include software support for a new HAL model name called Halcyon Evolve Note: *** Likely a Major Change as a single item ** Likely at least a Minor Change as a single item/possibly Major if 3 or more are “Yes” * Likely a Maintenance Change National Medical Products Administration (NMPA) software changes checklist"
D95548 HAL 4.0MR2 (HAL Evolve) Product Versioning Memo Rev 01.pdf,D95548,1,6,3.0 Version Consideration (Continued),3,Regulatory,Regulatory Plans,0.30759573,0.0013564017,"The NMPA is the Chinese agency for regulating drugs and medical devices for which the following software changes checklist is filled out. Description  Yes/No  Details Is there any change of Device Name on Device Label? YES There is a new label needed to support a new device name; Halcyon Evolve Is there any change of Model Name on Device Label? YES There is a new label needed to support a new device name; Halcyon Evolve Is there any change of device structure and components listed on NMPA license? No The certificate includes the structure and components of Halcyon Evolve, no change. Is there any change of application scope described on NMPA license? No Intended Use does not change, only the new model’s name would be included in the description. Is there any change of PTR and amendment approved by NMPA? YES New Device Model Is there any significant change of software described as below: 1. Change of operation system which do not compatible on hardware and software before"
